case_id	feature	gene_name
PAMMXF	emt.POS.1	emt
PAMVRA	emt.NEG.9	emt
PANBJH	emt.NEG.12	emt
PAMZMG	emt.ZERO	emt
PANBSP	emt.NEG.10	emt
PANUKV	emt.NEG.13	emt
PANYGR	emt.NEG.10	emt
PAPBGH	emt.NEG.7	emt
PAPKWN	emt.POS.15	emt
PAIVHE	emt.POS.12	emt
PAITEG	emt.POS.18	emt
PAKYZS	emt.POS.12	emt
PAITCI	emt.POS.9	emt
PAPEFE	emt.NEG.1	emt
PAIXIF	emt.POS.17	emt
PALCBW	emt.POS.15	emt
PALTEG	emt.POS.12	emt
PAMYCE	emt.POS.12	emt
PAMZGT	emt.POS.17	emt
PANGXK	emt.POS.14	emt
PANJLH	emt.POS.15	emt
PANKFE	emt.POS.13	emt
PANZPV	emt.POS.6	emt
PANZVU	emt.NEG.7	emt
PAPBZI	emt.NEG.8	emt
PANBMJ	emt.POS.6	emt
PAPHPE	emt.NEG.15	emt
PAIPGU	emt.POS.7	emt
PALEVG	emt.NEG.2	emt
PANRHJ	emt.POS.6	emt
PAPUAR	emt.NEG.12	emt
PAPUEB	emt.NEG.12	emt
PAPUNH	emt.NEG.15	emt
PAPZYP	emt.POS.14	emt
PARACM	emt.POS.6	emt
PANRRW	emt.NEG.12	emt
PANLET	emt.NEG.15	emt
PANRVJ	emt.POS.13	emt
PANSBN	emt.POS.12	emt
PANUIF	emt.POS.7	emt
PANWRR	emt.NEG.8	emt
PAPBJE	emt.POS.15	emt
PAPCTS	emt.NEG.9	emt
PAPKXS	emt.NEG.15	emt
PAPTAN	emt.POS.16	emt
PAPTCR	emt.POS.16	emt
PAPUWY	emt.NEG.6	emt
PAPVFD	emt.NEG.15	emt
PAPVXS	emt.NEG.5	emt
PAPZYZ	emt.POS.18	emt
PARACS	emt.NEG.8	emt
PARAMT	emt.NEG.13	emt
PARBGP	emt.NEG.15	emt
PARDIW	emt.NEG.14	emt
PARFWB	emt.NEG.15	emt
PARDCK	emt.NEG.7	emt
PARGKK	emt.NEG.8	emt
PARKGJ	emt.POS.17	emt
PARSBI	emt.POS.7	emt
PAIFXV	emt.POS.9	emt
PARVLK	emt.POS.7	emt
PARYNK	emt.NEG.14	emt
PARZIP	emt.NEG.15	emt
PASEGA	emt.NEG.7	emt
PASFGG	emt.POS.4	emt
PASGUT	emt.NEG.14	emt
PASMJG	emt.POS.13	emt
PASMNT	emt.NEG.17	emt
PASNZU	emt.NEG.9	emt
PASPER	emt.NEG.14	emt
PASRFS	emt.NEG.15	emt
PASSRS	emt.NEG.13	emt
PASTCN	emt.NEG.7	emt
PASTKC	emt.POS.13	emt
PASUCB	emt.NEG.8	emt
PASUYG	emt.NEG.5	emt
PASVRU	emt.NEG.11	emt
PASWFB	emt.NEG.9	emt
PASWVY	emt.NEG.17	emt
PASXGP	emt.NEG.16	emt
PASZPI	emt.POS.11	emt
PATDWN	emt.NEG.10	emt
PATDXG	emt.NEG.7	emt
PATEKG	emt.POS.10	emt
PATEPF	emt.NEG.13	emt
PATESI	emt.NEG.5	emt
PATFCY	emt.NEG.11	emt
PATFXV	emt.POS.4	emt
PATHVK	emt.ZERO	emt
PATINJ	emt.NEG.12	emt
PANXJL	emt.POS.16	emt
